EXPERIMENT,gf,mf,σ,T,foram,grazing pressure on them,zooplankton (same size),SYSTEM,%foram,,min %,max %,,
other,20,15,0.5,20,2.18E-08,Yes = 1,0.009932601,EUTRO,9.36E-06,,,,,
other,20,20,0.5,20,0.000104704,Yes = 1,0.010389587,EUTRO,4.49E-02,,,,,
other,30,30,0.5,20,DEAD,Yes = 1,0.009968739,EUTRO,DEAD,,,,,
other,40,45,0.5,20,DEAD,Yes = 1,0.009968739,EUTRO,DEAD,,,,,
other,40,50,0.5,20,1.85E-06,Yes = 1,0.009947239,EUTRO,7.93E-04,,,,,
other,50,60,0.5,20,DEAD,Yes = 1,0.009968739,EUTRO,DEAD,,,,,
,,,,,,,,,,,,,,
other,0,0,0.5,30,0.002368082,Yes = 1,0.064013958,OLIGO,9.80E-01,,,,,
other,10,0,0.5,30,0.001422782,Yes = 1,0.065625586,OLIGO,5.80E-01,,,,,
other,30,0,0.5,30,0.000364047,Yes = 1,0.061709928,OLIGO,1.40E-01,,,,,
other,50,0,0.5,30,DEAD,Yes = 1,0.061600736,OLIGO,DEAD,,,,,
other,60,0,0.5,30,DEAD,Yes = 1,0.061600736,OLIGO,DEAD,,,,,
other,80,0,0.5,30,DEAD,Yes = 1,0.061600736,OLIGO,DEAD,,,,,
other,90,0,0.5,30,DEAD,Yes = 1,0.061600736,OLIGO,DEAD,,,,,
other,90,40,0.5,30,DEAD,Yes = 1,0.061600736,OLIGO,DEAD,,,,,
other,50,10,0.5,30,DEAD,Yes = 1,0.061600736,OLIGO,DEAD,,,,,
other,50,60,0.5,30,1.34E-06,Yes = 1,0.061573904,OLIGO,5.30E-04,,,,,
other,80,5,0.5,30,DEAD,Yes = 1,0.061600736,OLIGO,DEAD,,,,,
other,50,63,,30,0.002119538,,,oligo,8.50E-01,,,,,
other,90,43,,30,DEAD,,,oligo,DEAD,,,,,
other,50,62,,30,0.002119538,,,oligo,8.60E-01,,,,,
other,90,42,,30,DEAD,,,,DEAD,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
other,0,0,0.5,30,0.02424341,Yes = 1,0.019439211,MESO,7.30E+00,,,,,
other,10,0,0.5,30,0.024212335,Yes = 1,0.019632033,MESO,7.30E+00,,,,,
other,30,0,0.5,30,0.023413071,Yes = 1,0.019950184,MESO,6.90E+00,,,,,
other,50,0,0.5,30,0.021708533,Yes = 1,0.021284072,MESO,6.30E+00,,,,,
other,60,0,0.5,30,0.020340987,Yes = 1,0.021355179,MESO,5.80E+00,,,,,
other,80,0,0.5,30,1.97E-08,Yes = 1,0.017118169,MESO,5.40E-06,,,,,
other,90,0,0.5,30,DEAD,Yes = 1,0.01709227,MESO,DEAD,,,,,
other,90,40,0.5,30,DEAD,Yes = 1,0.01709227,MESO,DEAD,,,,,
other,50,10,0.5,30,0.02092258,Yes = 1,0.022003325,MESO,6.40E+00,,,,,
other,50,40,0.5,30,0.022728064,Yes = 1,0.019882561,MESO,6.50E+00,,,,,
other,50,63,,30,0.022987635,,,meso,6.60E+00,,,,,
other,90,43,,30,DEAD,,,meso,DEAD,,,,,
other,50,62,,30,0.022968389,,,meso,6.60E+00,,,,,
other,90,42,,30,DEAD,,,,DEAD,,,,,
other,80,5,0.5,30,8.62E-05,Yes = 1,0.01911662,MESO,2.30E-02,,,,,
,,,,,,,,,,,,,,
other,90,42,,30,0.000111035,,,eutro,2.30E-02,,,,,
other,0,0,0.5,30,0.022488417,Yes = 1,0.024878801,EUTRO,5.30E+00,,,,,
other,10,0,0.5,30,0.022443802,Yes = 1,0.019451658,EUTRO,5.20E+00,,,,,
other,30,0,0.5,30,0.023516087,Yes = 1,0.004392379,EUTRO,5.40E+00,,,,,
other,50,0,0.5,30,0.022271804,Yes = 1,0.006868076,EUTRO,5.10E+00,,,,,
other,60,0,0.5,30,0.021699664,Yes = 1,0.005681356,EUTRO,5.00E+00,,,,,
other,80,0,0.5,30,0.013809297,Yes = 1,0.018507942,EUTRO,3.00E+00,,,,,
other,90,0,0.5,30,DEAD,Yes = 1,0.023945739,EUTRO,DEAD,,,,,
other,50,10,0.5,30,0.022363365,Yes = 1,0.007089536,EUTRO,5.10E+00,,,,,
other,50,40,0.5,30,0.022617216,Yes = 1,0.006632625,EUTRO,5.10E+00,,,,,
other,80,5,0.5,30,0.014447995,Yes = 1,0.018410526,EUTRO,3.20E+00,,,,,
other,50,63,,30,0.022721451,,,eutro,5.10E+00,,,,,
other,90,43,,30,DEAD,,,eutro,2.30E-02,,,,,
other,50,62,,30,0.022721451,,,eutro,5.00E+00,,,,,
,,,,,,,,,,,,,,
other,0,0,0.5,10,DEAD,Yes = 1,DEAD,MESO,DEAD,,,,,
other,10,0,0.5,10,DEAD,Yes = 1,DEAD,MESO,DEAD,,,,,
other,10,40,0.5,10,DEAD,Yes = 1,DEAD,MESO,DEAD,,,,,
other,10,60,0.5,10,DEAD,Yes = 1,DEAD,MESO,DEAD,,,,,
other,20,60,0.5,10,DEAD,Yes = 1,DEAD,MESO,DEAD,,,,,
other,30,60,0.5,10,DEAD,Yes = 1,DEAD,MESO,DEAD,,,,,
other,40,60,0.5,10,DEAD,Yes = 1,DEAD,MESO,DEAD,,,,,
other,60,60,0.5,10,DEAD,Yes = 1,DEAD,MESO,DEAD,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
other,0,0,0.5,10,DEAD,Yes = 1,0.014217369,EUTRO,DEAD,,,,,
other,10,0,0.5,10,DEAD,Yes = 1,0.014217369,EUTRO,DEAD,,,,,
other,10,40,0.5,10,DEAD,Yes = 1,0.014217369,EUTRO,DEAD,,,,,
other,10,60,0.5,10,DEAD,Yes = 1,0.014217369,EUTRO,DEAD,,,,,
other,20,60,0.5,10,DEAD,Yes = 1,0.014217369,EUTRO,DEAD,,,,,
other,30,60,0.5,10,DEAD,Yes = 1,0.014217369,EUTRO,DEAD,,,,,
other,40,60,0.5,10,DEAD,Yes = 1,0.014217369,EUTRO,DEAD,,,,,
other,60,60,0.5,10,DEAD,Yes = 1,0.014217369,EUTRO,DEAD,,,,,
