EXPERIMENT,gf,mf,?,T,foram,grazing pressure on them,SYSTEM,%foram,,min,max,Here we present the model output for the herbivorous spinose with ?= 0.5 and predator- prey optimum prey length equals to 10:1 
other,60,20,0.5,30,DEAD,,MESO,DEAD,,,,
other,60,10,0.5,30,DEAD,,MESO,DEAD,,,,
other,60,15,0.5,30,DEAD,,MESO,DEAD,,,,
other,60,14,0.5,30,DEAD,,MESO,DEAD,,,,
other,50,25,0.5,30,DEAD,,MESO,DEAD,,,,
,,,,,,,,,,,,
other,10,0,0.5,30,1.65E-02,Yes = 1,EUTRO,3.73,,,,
other,10,60,0.5,30,2.39E-02,Yes = 1,EUTRO,5.58,,,,
other,20,0,0.5,30,1.51E-02,Yes = 1,EUTRO,3.45,,,,
other,20,60,0.5,30,2.39E-02,Yes = 1,EUTRO,5.43,,,,
other,30,0,0.5,30,1.38E-02,Yes = 1,EUTRO,3.11,,,,
other,30,5,0.5,30,1.47E-02,Yes = 1,EUTRO,3.31,,,,
other,40,10,0.5,30,1.18E-02,Yes = 1,EUTRO,2.61,,,,
other,40,25,0.5,30,1.45E-02,Yes = 1,EUTRO,3.24,,,,
other,50,10,0.5,30,9.49E-03,Yes = 1,EUTRO,2.04,,,,
other,50,0,0.5,30,7.41E-03,Yes = 1,EUTRO,1.58,,,,
other,50,25,0.5,30,,Yes = 1,EUTRO,2,,,,
other,40,27,0.5,30,0.014948688,,EUTRO,3.5,,,,
other,70,0,0.5,30,DEAD,,EUTRO,DEAD,,,,
other,70,50,0.5,30,0.001272897,,EUTRO,0.27,,,,
other,60,0,0.5,30,DEAD,,EUTRO,DEAD,,,,
other,60,20,0.5,30,3.75E-03,,EUTRO,0.8,,,,
other,60,10,0.5,30,DEAD,,EUTRO,DEAD,,,,
other,50,25,0.5,30,0.011870253,,EUTRO,2.6,,,,
other,50,50,0.5,30,1.55E-02,,EUTRO,3.5,,,,
other,50,45,0.5,30,1.55E-02,,EUTRO,3.5,,,,
